component_name,price,currency,store,url,scraped_at
"Memorie RAM 16 GB Kingston FURY Beast KF436C17BBK2/ 16 DIMM, DDR4, 3600 MHz",4399.00,MDL,darwin.md,https://darwin.md/memorie-ram-16-gb-ddr4-3600-mhz-kingston-fury-beast-kf436c17bbk2-16.html,2026-06-12 22:02:15
"Memorie RAM 16 GB Kingston FURY Beast KF436C18BB/ 16 DIMM, DDR4, 3600 MHz",4099.00,MDL,darwin.md,https://darwin.md/memorie-ram-16-gb-ddr4-3600-mhz-kingston-fury-beast-kf436c18bb16.html,2026-06-12 22:02:15
"Memorie RAM 16 GB Kingston FURY Beast KF548S38IB-16 SO-DIMM, DDR5, 4800 MHz",4949.00,MDL,darwin.md,https://darwin.md/memorie-ram-16-gb-kingston-fury-beast-kf548s38ib-16.html,2026-06-12 22:02:15
"Memorie RAM 16 GB Kingston FURY Beast KF548S38IBK2-16 SO-DIMM, DDR5, 4800 MHz",5849.00,MDL,darwin.md,https://darwin.md/memorie-ram-16-gb-kingston-fury-beast-kf548s38ibk2-16.html,2026-06-12 22:02:15
"Memorie RAM 16 GB Kingston FURY Beast RGB KF432C16BB12A/16 DIMM, DDR4, 3200 MHz",3789.00,MDL,darwin.md,https://darwin.md/memorie-ram-16-gb-ddr4-3200-mhz-kingston-fury-beast-rgb-kf432c16bb1a16.html,2026-06-12 22:02:15
"Memorie RAM 16 GB Kingston FURY IMPACT KF432S20IB1/ 16 SO-DIMM, DDR4, 3200 MHz",3699.00,MDL,darwin.md,https://darwin.md/memorie-ram-16-gb-ddr4-3200-mhz-kingston-fury-impact-kf432s20ib116.html,2026-06-12 22:02:15
"Memorie RAM 16 GB Kingston FURY IMPACT KF432S20IBK2/ 16 SO-DIMM, DDR4, 3200 MHz",4049.00,MDL,darwin.md,https://darwin.md/memorie-ram-16-gb-ddr4-3200-mhz-kingston-fury-impact-kf432s20ibk216.html,2026-06-12 22:02:15
"Memorie RAM 16 GB Kingston FURY IMPACT KF556S40IB-16 SO-DIMM, DDR5, 5600 MHz",4999.00,MDL,darwin.md,https://darwin.md/memorie-ram-kingston-fury-impact-kf556s40ib-16-so-dimm-ddr5-16-gb.html,2026-06-12 22:02:15
"Memorie RAM 16 GB Kingston FURY Renegade KF564C32RS-16 DIMM, DDR5, 6400 MHz",5299.00,MDL,darwin.md,https://darwin.md/memorie-ram-16-gb-kingston-fury-renegade-kf564c32rs-16.html,2026-06-12 22:02:15
"Memorie RAM 16 GB Kingston ValueRam DIMM, DDR4, 3200 MHz",3659.00,MDL,darwin.md,https://darwin.md/16gb-ddr4-3200mhz-kingston-valueram-sdram-sdram.html,2026-06-12 22:02:15
"Memorie RAM 16 GB Transcend JM3200HLE-16G DIMM, DDR4, 3200 MHz",3659.00,MDL,darwin.md,https://darwin.md/16gb-ddr4-3200mhz-transcend-sdram.html,2026-06-12 22:02:15
"Memorie RAM 16 GB Transcend JM3200HSE-16G SO-DIMM, DDR4, 3200 MHz",3569.00,MDL,darwin.md,https://darwin.md/16gb-ddr4-3200mhz-transcend-so-dimm.html,2026-06-12 22:02:15
"Memorie RAM 16 GB Transcend JM4800ALE-16G DIMM, DDR5, 4800 MHz",4899.00,MDL,darwin.md,https://darwin.md/memorie-ram-16-gb-transcend-jm4800ale-16g.html,2026-06-12 22:02:15
"Memorie RAM 32 GB Kingston FURY Beast KF432C16BB1K2/ 32 DIMM, DDR4, 3200 MHz",6899.00,MDL,darwin.md,https://darwin.md/memorie-ram-32-gb-ddr4-3200-mhz-kingston-fury-beast-kf432c16bb1k232.html,2026-06-12 22:02:15
"Memorie RAM 32 GB Kingston FURY Beast KF436C18BBK2/ 32 DIMM, DDR4, 3600 MHz",7749.00,MDL,darwin.md,https://darwin.md/memorie-ram-32-gb-ddr4-3600-mhz-kingston-fury-beast-kf436c18bbk232.html,2026-06-12 22:02:15
"Memorie RAM 32 GB Kingston FURY Beast KF548S38IB-32 SO-DIMM, DDR5, 4800 MHz",9749.00,MDL,darwin.md,https://darwin.md/memorie-ram-32-gb-kingston-fury-beast-kf548s38ib-32.html,2026-06-12 22:02:15
"Memorie RAM 32 GB Kingston FURY Beast KF556C40BB-32 DIMM, DDR5, 6000 MHz",9949.00,MDL,darwin.md,https://darwin.md/memorie-ram-kingston-fury-beast-kf556c40bb-32-dimm-ddr5-32-gb.html,2026-06-12 22:02:15
"Memorie RAM 32 GB Kingston FURY Beast KF560C30BBEK2-32 DIMM, DDR5, 6000 MHz",10399.00,MDL,darwin.md,https://darwin.md/memorie-ram-kingston-fury-beast-kf560c30bbek2-32-ddr5-32-gb.html,2026-06-12 22:02:15
"Memorie RAM 32 GB Kingston FURY Beast SDRAM KF432C16BB/ 32 DIMM, DDR4, 3200 MHz",6849.00,MDL,darwin.md,https://darwin.md/memorie-ram-32-gb-kingston-fury-beast-sdram-kf432c16bb-32.html,2026-06-12 22:02:15
"Memorie RAM 32 GB Kingston FURY IMPACT KF432S20IB/ 32 SO-DIMM, DDR4, 3200 MHz",6699.00,MDL,darwin.md,https://darwin.md/memorie-ram-32-gb-kingston-fury-impact-kf432s20ib-32.html,2026-06-12 22:02:15
"Memorie RAM 32 GB Kingston FURY IMPACT KF432S20IBK2/ 32 SO-DIMM, DDR4, 3200 MHz",6799.00,MDL,darwin.md,https://darwin.md/memorie-ram-32-gb-kingston-fury-impact-kf432s20ibk2-32.html,2026-06-12 22:02:15
"Memorie RAM 32 GB Kingston FURY IMPACT KF556S40IB-32 SO-DIMM, DDR5, 5600 MHz",9899.00,MDL,darwin.md,https://darwin.md/memorie-ram-kingston-fury-impact-kf556s40ib-32-so-dimm-ddr5-32-gb.html,2026-06-12 22:02:15
"Memorie RAM 32 GB Kingston FURY IMPACT KF556S40IBK2-32 SO-DIMM, DDR5, 5600 MHz",9999.00,MDL,darwin.md,https://darwin.md/memorie-ram-kingston-fury-impact-kf556s40ibk2-32-so-dimm-ddr5-32-gb.html,2026-06-12 22:02:15
"Memorie RAM 32 GB Kingston FURY IMPACT KF560S38IBK2-32 SO-DIMM, DDR5, 6000 MHz",9999.00,MDL,darwin.md,https://darwin.md/memorie-ram-kingston-fury-impact-kf560s38ibk2-32-so-dimm-ddr5-32-gb.html,2026-06-12 22:02:15
"Memorie RAM 32 GB Kingston FURY Renegade KF572C38RSK2-32 DIMM, DDR5, 7200 MHz",10949.00,MDL,darwin.md,https://darwin.md/memorie-ram-32-gb-kingston-fury-renegade-kf572c38rsk2-32.html,2026-06-12 22:02:15
"Memorie RAM 32 GB Kingston FURY Renegade RGB KF572C38RSAK2-32 DIMM, DDR5, 7200 MHz",11149.00,MDL,darwin.md,https://darwin.md/memorie-ram-32-gb-kingston-fury-renegade-rgb-kf572c38rsak2-32.html,2026-06-12 22:02:15
"Memorie RAM 32 GB Kingston Kingston FURY Renegade RGB SDRAM KF432C16RB2AK2/64 DIMM, DDR4, 3200 MHz",13899.00,MDL,darwin.md,https://darwin.md/memorie-ram-32-gb-kingston-kingston-fury-renegade-rgb-sdram-kf432c16rbak2-64.html,2026-06-12 22:02:15
